#Fent servir el metode de Euler amb x0=1.000000 , y0=1.000000, z0=1.000000, sigma=10.000000, b=2.666667, r=350.000000, Tmax=100.000000, h=0.010000 ,obtenim els resultats: 
#Temps 			 X 			 Y 			 Z 			 X^2 
0.000000 		 1.000000 		 4.480000 		 0.983333 		 1.000000
2.099998 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
2.109998 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
2.119998 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
2.129998 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
2.139998 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
2.149998 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
2.159998 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
2.169998 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
2.179998 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
2.189998 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
2.199998 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
2.209998 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
2.219998 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
2.229998 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
2.239998 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
2.249998 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
2.259998 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
2.269998 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
2.279998 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
2.289998 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
2.299998 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
2.309998 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
2.319998 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
2.329998 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
2.339998 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
2.349998 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
2.359998 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
2.369998 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
2.379998 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
2.389998 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
2.399998 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
2.409998 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
2.419998 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
2.429998 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
2.439998 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
2.449998 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
2.459998 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
2.469998 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
2.479998 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
2.489998 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
2.499998 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
2.509998 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
2.519998 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
2.529998 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
2.539998 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
2.549998 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
2.559998 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
2.569998 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
2.579998 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
2.589998 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
2.599998 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
2.609998 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
